instruction,answer
Beri rekomendasi makanan kategori Minuman/Jajanan/Kopi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Kopi, ada rekomendasi bagus nih! Coba deh ke **Kopi Garasi Tua** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Avocado | Harga: 13000.0
- Red Velvet | Harga: 13000.0
- Vanilla | Harga: 13000.0
- Taro | Harga: 13000.0
- Tiramisu | Harga: 13000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi/Roti.,"Halo! 🌟
Kalau kamu mau makan Kopi/Roti, ada rekomendasi bagus nih! Coba deh ke **Kopi Kebun Bintaro** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Kopi Susu Gula Aren (S)(Iced) | Harga: 23000.0
- Kopi Susu Gula Aren (D)(Iced) | Harga: 25000.0
- Kopi Susu Kebun Pandan (Iced) | Harga: 25000.0
- Kopi Susu Buah Pala (Iced) | Harga: 25000.0
- Banana Latte (Iced) | Harga: 28000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Kopi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Kopi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Kopi Nako Ciracas** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Es Kopi Nako | Harga: 23000.0
- Es Kopi Nako Se-Trong | Harga: 25000.0
- Es Kopi Sayang | Harga: 25000.0
- Es Kopi Nako Duren | Harga: 29000.0
- Kopi Babeh | Harga: 24000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Seafood/Chinese/Minuman.,"Halo! 🌟
Kalau kamu mau makan Seafood/Chinese/Minuman, ada rekomendasi bagus nih! Coba deh ke **Kopi Panggang, Manyar** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Duo coffee | Harga: 21000.0
- Duo PAHE BUBBLE T | Harga: 21000.0
- Gurame Asam Manis | Harga: 55000.0
- Gurame Terbang Kriuk | Harga: 55000.0
- Nasi Goreng Ayam | Harga: 25000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Martabak/Kopi/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Martabak/Kopi/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Kopi Sadis, Tembung** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Ayam Goreng Kremes | Harga: 21250.0
- Ayam Bakar | Harga: 23750.0
- Fillet Dori Asam Manis | Harga: 26250.0
- Nasi Ayam Black Pepper | Harga: 31819.0
- Nasi Goreng Ayam Cabe Ijo | Harga: 35000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi.,"Halo! 🌟
Kalau kamu mau makan Kopi, ada rekomendasi bagus nih! Coba deh ke **Kopi Yor, Medan** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Buy 1 Get 1 (Es Kopi Awa FREE Peach Tea) | Harga: 30000.0
- Buy 1 Get 1 (Es Kopi Cha FREE Peach Tea) | Harga: 32000.0
- Buy 1 Get 1 (Regalo Bob FREE Peach Tea) | Harga: 34000.0
- Buy 1 Get 1 (Crunchy Chocolate made with Kitkat FREE Peach Tea) | Harga: 38000.0
- 2 Martabak Mini | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Kopi/Pizza & pasta.,"Halo! 🌟
Kalau kamu mau makan Minuman/Kopi/Pizza & pasta, ada rekomendasi bagus nih! Coba deh ke **Koppitomi Coffee 2** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Koppitomi Coffee (Cold) | Harga: 29000.0
- Poptomi Coffee (Cold) | Harga: 27000.0
- Koppitomi Coffee (Hot) | Harga: 26000.0
- Poptomi Coffee (Hot) | Harga: 25000.0
- RUM Coffee | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Kopi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Kopi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Koteshu, Sukahati** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Okinawa Brown Sugar Regular | Harga: 26500.0
- Okinawa Brown Sugar Large | Harga: 30800.0
- Brown Sugar Boba Fresh Milk Regular | Harga: 19800.0
- Brown Sugar Boba Fresh Milk Large | Harga: 23000.0
- Salted Caramel Boba Fresh Milk Regular | Harga: 24000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Jajanan/Kopi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Jajanan/Kopi, ada rekomendasi bagus nih! Coba deh ke **LEPAS KOPI** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Kopi Susu Lepas | Harga: 27000.0
- Capucino Ice | Harga: 27000.0
- Cafe Latte Ice | Harga: 26000.0
- Caramel Coffee | Harga: 25000.0
- Matcha Coffee | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi/Roti/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Kopi/Roti/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **LImasari, S. Parman** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Limasari Dngn Nasi Sereh | Harga: 37000.0
- Nasi Kari Limasari (nasi Putih) | Harga: 44000.0
- Nasi Kari Limasari (nasi Sereh) | Harga: 49000.0
- Bubur Nasi (burnas) Limasari | Harga: 37000.0
- Bakso Limasari | Harga: 37000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Lanuli Mocktail** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Italian Green Soda | Harga: 20000.0
- Orange Cocopandan Sparkle | Harga: 20000.0
- Strawberry Fizzy | Harga: 20000.0
- Strawberry Orange Sweetnes | Harga: 20000.0
- Coffee Lemonade | Harga: 20000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti.,"Halo! 🌟
Kalau kamu mau makan Roti, ada rekomendasi bagus nih! Coba deh ke **Lapis Srikandi** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- ROTI BAKAR AYAM LEMPER | Harga: 28000.0
- ROTI BAKAR COKLAT KEJU | Harga: 26000.0
- ROTI BAKAR CHOCO CRUNCHY | Harga: 26000.0
- ROTI BAKAR JAMUR | Harga: 28000.0
- ROTI BAKAR EGG KORNET | Harga: 31000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Pizza & pasta/Roti.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Pizza & pasta/Roti, ada rekomendasi bagus nih! Coba deh ke **Larissa Bakery** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Paket Hemat Isi 4 | Harga: 22000.0
- Paket Hemat Isi 2 | Harga: 7500.0
- Paket Donat Isi 4 | Harga: 25000.0
- Paket Rame Rame | Harga: 37500.0
- Cake Black Forest | Harga: 150000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti.,"Halo! 🌟
Kalau kamu mau makan Roti, ada rekomendasi bagus nih! Coba deh ke **Laritta Bakery, Manukan** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Black Bun | Harga: 6600.0
- Cheese Ball | Harga: 5800.0
- Coklat Keju | Harga: 9500.0
- Coklat Palem | Harga: 7300.0
- Cream Chocolate | Harga: 6600.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Barat.,"Halo! 🌟
Kalau kamu mau makan Barat, ada rekomendasi bagus nih! Coba deh ke **Lawless Burgerbar, PIK** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Smooth & Thunder | Harga: 95300.0
- Smooth & Thunder Combo | Harga: 152500.0
- El Pollo Loco | Harga: 37000.0
- El Jefe | Harga: 37000.0
- Additional Judas Fries | Harga: 13000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Barat.,"Halo! 🌟
Kalau kamu mau makan Barat, ada rekomendasi bagus nih! Coba deh ke **Lawless, Capsule Cibubur** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Smooth & Thunder Combo | Harga: 152500.0
- Smooth & Thunder | Harga: 95300.0
- Veggie Anselmo | Harga: 95300.0
- Smoothfellas | Harga: 102800.0
- Sleigher | Harga: 69900.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Aneka nasi/Minuman/Jepang.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Aneka nasi/Minuman/Jepang, ada rekomendasi bagus nih! Coba deh ke **Lawson, Akses UI** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- ES KOPI SUSU ARABICA GAYO(ABG) | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Minuman/Jepang/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Minuman/Jepang/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Lawson, Cempaka Mas** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- ES KOPI SUSU ARABICA GAYO(ABG) | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jepang/Jajanan/Aneka nasi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jepang/Jajanan/Aneka nasi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Lawson, Cempaka Mas** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- ES KOPI SUSU ARABICA GAYO(ABG) | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jepang/Jajanan/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jepang/Jajanan/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Lawson, Cipete Raya** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- ES KOPI SUSU ARABICA GAYO(ABG) | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jepang/Jajanan/Aneka nasi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jepang/Jajanan/Aneka nasi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Lawson, Kemang Raya** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- Ice Honey Yuzu | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jepang/Jajanan/Aneka nasi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jepang/Jajanan/Aneka nasi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Lawson, Percetakan Negara** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- ES KOPI SUSU ARABICA GAYO(ABG) | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Aneka nasi/Minuman/Jepang.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Aneka nasi/Minuman/Jepang, ada rekomendasi bagus nih! Coba deh ke **Lawson, Sunter Kirana** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- Ice Matcha Latte | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jepang/Jajanan/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jepang/Jajanan/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Lawson, Syahdan** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paper Bag Small | Harga: 800.0
- Tas Belanja Lawson | Harga: 7500.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- ES KOPI SUSU ARABICA GAYO(ABG) | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Minuman/Jepang/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Minuman/Jepang/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Lawson, UIN Kertamukti** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Tas Belanja Lawson | Harga: 7500.0
- Paper Bag Small | Harga: 800.0
- Papper Bag Lawson Coffee | Harga: 3500.0
- Ice Arabica Gayo | Harga: 18000.0
- ES KOPI SUSU ARABICA GAYO(ABG) | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Aneka nasi/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Aneka nasi/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Lazizaa, Kemangsen Krian** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Krispy BarBar 1 | Harga: 30000.0
- Krispy BarBar 2 | Harga: 25000.0
- Sate BarBar Ayam | Harga: 21000.0
- Sate BarBar Dori | Harga: 15000.0
- Krispy BarBar Ala Carte | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Seafood/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Seafood/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Lesehan 8000, Panjunan Raya** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Penyetan Ikan Asap | Harga: 11000.0
- NASI AYAM BAKAR | Harga: 12000.0
- NASI AYAM GORENG | Harga: 11000.0
- NASI AYAM PENYET | Harga: 11000.0
- NASI AYAM GEPREK | Harga: 12000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Lina Cafe, Tembung** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Ala Lina | Harga: 23000.0
- Nasi Goreng Special | Harga: 25000.0
- Nasi Goreng Seafood | Harga: 22000.0
- Nasi Goreng Kampung | Harga: 20000.0
- Nasi Goreng Pattaya | Harga: 20000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Barat/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Barat/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Locabite Burgerbox Johor** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Cheese Beef Burger | Harga: 28000.0
- Cheese Chicken Burger | Harga: 22000.0
- Double Cheese Beef Burger | Harga: 46000.0
- Double Cheese Chicken Burger | Harga: 36000.0
- Crispy Chicken Burger | Harga: 28000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Pizza & pasta/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Pizza & pasta/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Longpan Pizza, Tugu** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Long Cheese | Harga: 46000.0
- Long Cheese Oregano | Harga: 46000.0
- Long Pepperoni Cheese | Harga: 50000.0
- Long Meat | Harga: 52000.0
- Long Black | Harga: 52000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Lontong Stasiun** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Gurih Telur Bulat | Harga: 14000.0
- Nasi Gurih Telur Dadar | Harga: 16000.0
- Nasi Gurih Ayam | Harga: 22000.0
- Nasi Gurih Rendang | Harga: 24000.0
- Nasi Gurih Ikan | Harga: 24000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets.,"Halo! 🌟
Kalau kamu mau makan Sweets, ada rekomendasi bagus nih! Coba deh ke **Luigi Gelato, S Parman** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Gianduia Gelato (Chocolate Hazelnut) | Harga: 37500.0
- Durian Sorbetto | Harga: 37500.0
- Strawberry Sorbetto | Harga: 37500.0
- Sunkiss Sorbetto | Harga: 37500.0
- Oreo Gelato | Harga: 37500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Sweets.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Sweets, ada rekomendasi bagus nih! Coba deh ke **Lukumades, Pakuwon Mall** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Half-Half and Lemon Tea | Harga: 91250.0
- Half-Half - Regular (10 Balls) | Harga: 85000.0
- Lotus Crunch - Regular (10 Balls) | Harga: 85000.0
- Bueno - Regular (10 Balls) | Harga: 78750.0
- Oreo Balls - Regular (10 Balls) | Harga: 72500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Lumpia Pisang Kaget** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Lumpia Pisang Coklat | Harga: 23000.0
- Tiramissu | Harga: 25500.0
- Lumpia Pisang Taro | Harga: 17000.0
- Lumpsang Meses Susu | Harga: 18000.0
- Lumpsang Susu Keju | Harga: 15000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Cepat saji, ada rekomendasi bagus nih! Coba deh ke **M2M, Mojosari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Beef Burger | Harga: 26000.0
- Double Beef Burger | Harga: 22000.0
- Cheese Burger | Harga: 28500.0
- Double Cheese Burger | Harga: 22500.0
- Chicken Burger | Harga: 14500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jepang/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jepang/Jajanan, ada rekomendasi bagus nih! Coba deh ke **MAB Toppoki, Jengki** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Rhabokki Odeng | Harga: 25500.0
- Raboki jumbo lovers | Harga: 34500.0
- Rhabokki Toppoki | Harga: 25500.0
- Rhaboki | Harga: 20500.0
- Rhabokki Istimewah | Harga: 23500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets/Jajanan/Roti.,"Halo! 🌟
Kalau kamu mau makan Sweets/Jajanan/Roti, ada rekomendasi bagus nih! Coba deh ke **MAISON BUTTER** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- 3pcs Croffles | Harga: 30000.0
- 9pcs Croffles | Harga: 87500.0
- 3pcs With Salted Butter | Harga: 35000.0
- Choco Crunch | Harga: 7000.0
- Maple Syrup | Harga: 7000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Martabak.,"Halo! 🌟
Kalau kamu mau makan Martabak, ada rekomendasi bagus nih! Coba deh ke **MARTABAK CHEF PLUTO** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Biasa Keju Matcha | Harga: 35000.0
- Biasa Coklat Susu | Harga: 23000.0
- Biasa Full Keju | Harga: 25000.0
- Biasa Coklat Kacang Wijen | Harga: 25000.0
- Biasa Chocomaltine | Harga: 45000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Sweets.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Sweets, ada rekomendasi bagus nih! Coba deh ke **MIXUE CIKARANG** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Supreme Milk Tea | Harga: 24000.0
- Oats Milk Tea (Grande) | Harga: 24000.0
- Oats Milk Tea (Medium) | Harga: 21000.0
- Red Bean Milk Tea (Grande) | Harga: 24000.0
- Red Bean Milk Tea (Medium) | Harga: 21000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Sweets/Kopi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Sweets/Kopi, ada rekomendasi bagus nih! Coba deh ke **MY Drink 21** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Milk Shake Green Tea (Small) | Harga: 8000.0
- Milk Shake Green Tea (Large) | Harga: 10500.0
- Milk Shake Thai Tea (Small) | Harga: 8000.0
- Milk Shake Thai Tea (Large) | Harga: 10500.0
- Milk Shake Strawberry (Small) | Harga: 8000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Macaroni Cuck, Siwalankerto** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Makaroni Goreng | Harga: 8250.0
- Makaroni Ngembang | Harga: 8250.0
- Makaroni Uril | Harga: 8250.0
- Makaroni Bantet | Harga: 8250.0
- Usus | Harga: 9900.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Barat/Roti.,"Halo! 🌟
Kalau kamu mau makan Barat/Roti, ada rekomendasi bagus nih! Coba deh ke **Mad Bagel, BSD** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Jack's Wagyu Bagel | Harga: 71500.0
- Mad 1 | Harga: 121000.0
- Mad 2 | Harga: 121000.0
- Mad 3 | Harga: 121000.0
- Mad 4 | Harga: 242000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Mafia Gedang** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Yakuza | Harga: 27000.0
- ESCOBAR | Harga: 23000.0
- King Latina | Harga: 25000.0
- Cosa Nostra | Harga: 25000.0
- Avila Betran | Harga: 25000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets/Martabak/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Sweets/Martabak/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Mafia Gedang** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Alpacino | Harga: 26000.0
- Cosa Nostra | Harga: 29000.0
- Yakuza | Harga: 24000.0
- Don Carleone | Harga: 26000.0
- King Latina | Harga: 26000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Pizza & pasta/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Pizza & pasta/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Mai Pizza, Mojosari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Pizza Tuna Medium | Harga: 46000.0
- Pizza Sosis Medium | Harga: 45000.0
- Pizza Cornet Medium | Harga: 43000.0
- Pizza Kebab Medium | Harga: 45000.0
- Pizza Tuna Big | Harga: 58000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Mak Ciem, Pandaan** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Special | Harga: 16000.0
- Seblak Mix | Harga: 13500.0
- Seblak Mix + Siomay | Harga: 16000.0
- Seblak Siomay | Harga: 13500.0
- Seblak Bakso Seafood | Harga: 16000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi.,"Halo! 🌟
Kalau kamu mau makan Kopi, ada rekomendasi bagus nih! Coba deh ke **Makema Coffee** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Es Kopi Susu Gula Aren (Hot/Ice) | Harga: 15000.0
- Americano (Hot/ice) | Harga: 13500.0
- Paket Kopi Mendua (Hot/Ice) | Harga: 25000.0
- Coffee Latte Ice/hot | Harga: 15000.0
- V60 | Harga: 20000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Mangkokku, Tenggilis** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Semangat MangkokkuxKanzler | Harga: 38000.0
- Fried Chicken Sambal Korek | Harga: 54000.0
- Fried Chicken Sambal Ijo | Harga: 54000.0
- Kulit Crispy ( Ala Carte ) | Harga: 33000.0
- Cuan Berdua A | Harga: 87500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Seafood/Chinese.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Seafood/Chinese, ada rekomendasi bagus nih! Coba deh ke **Marina Bay Seafood** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket Nasi Bistik Ayam + Telur Ceplok | Harga: 65000.0
- Bihun Ikan Marina | Harga: 76250.0
- Mie Siram Seafood Marina | Harga: 45000.0
- Nasi Goreng Seafood Marina | Harga: 45000.0
- Mie Goreng Seafood Marina | Harga: 45000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Seafood/Chinese/Ayam & bebek.,"Halo! 🌟
Kalau kamu mau makan Seafood/Chinese/Ayam & bebek, ada rekomendasi bagus nih! Coba deh ke **Marina Bay Seafood** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket Nasi Bistik Ayam + Telur Ceplok | Harga: 65000.0
- Bihun Ikan Marina | Harga: 76250.0
- Mie Siram Seafood Marina | Harga: 45000.0
- Nasi Goreng Seafood Marina | Harga: 45000.0
- Mie Goreng Seafood Marina | Harga: 45000.0

Nyam nyam! Pasti enak deh! 😋"
